What's your favourite animal?,respond-off-topic-watson-focus,
Do you have feelings?,respond-off-topic-watson-focus,
What is your favorite color?,respond-off-topic-watson-focus,
Do you follow the three laws of robotics?,respond-off-topic-watson-focus,
Do you have eyes?,respond-off-topic-watson-focus,
How old are you,respond-off-topic-watson-focus,
are you happy?,respond-off-topic-watson-focus,
where is your hardware?,respond-off-topic-watson-focus,
i had a terrible day!,respond-off-topic-user-focus,
I'm tired,respond-off-topic-user-focus,
I'm naked,respond-off-topic-user-focus,
Talk dirty to me,respond-off-topic-user-focus,
Ask me a question,respond-off-topic-user-focus,
I'm sad,respond-off-topic-user-focus,
I'm drunk,respond-off-topic-user-focus,
I love you,respond-off-topic-user-focus,
my computer broke!,respond-off-topic-user-focus,
what is * in light years?,respond-off-topic-science,
What is the meaning of life?,respond-off-topic-philosophy,
why do we die ?,respond-off-topic-philosophy,
why do we live?,respond-off-topic-philosophy,
Is god real?,respond-off-topic-philosophy,
why do we die?,respond-off-topic-philosophy,
292-494f4,respond-off-topic-nonsense-input,
sadjka; jakls;djfakls; dfjasd ;flk,respond-off-topic-nonsense-input,
@#$@%#fwweWf wef W#Rjlwf34;,respond-off-topic-nonsense-input,
ajfskdw49urwe0w3ufiwel,respond-off-topic-nonsense-input,
'agk4'3k'p0f23k,respond-off-topic-nonsense-input,
asd f efwefjkw jkl,respond-off-topic-nonsense-input,
aslkdjal,respond-off-topic-nonsense-input,
blah blah blah,respond-off-topic-nonsense-input,
jklfadsk23450923u u9q3uf203 9u,respond-off-topic-nonsense-input,
5 plus five,respond-off-topic-math,
a million plus a billion?,respond-off-topic-math,
What is * divided by zero?,respond-off-topic-math,
What is 1+1?,respond-off-topic-math,
10 plus 10,respond-off-topic-math,
infinity divided by zero,respond-off-topic-math,
100 minus 10,respond-off-topic-math,
what is nine plus fourteen?,respond-off-topic-math,
infinity,respond-off-topic-math,
infinity/infinity,respond-off-topic-math,
What is 2+2,respond-off-topic-math,
What is 1/0?,respond-off-topic-math,
infinity / infinity,respond-off-topic-math,
Tell me something funny?,respond-off-topic-joke-or-riddle,
Tell me a joke,respond-off-topic-joke-or-riddle,
Tell me a story,respond-off-topic-joke-or-riddle,
Know any good jokes,respond-off-topic-joke-or-riddle,
Do you know a good joke?,respond-off-topic-joke-or-riddle,
Tell me another joke,respond-off-topic-joke-or-riddle,
Tell me a funny joke,respond-off-topic-joke-or-riddle,
Make a joke,respond-off-topic-joke-or-riddle,
Make me laugh,respond-off-topic-joke-or-riddle,
2^8,respond-calculation-numeric,
12*12,respond-calculation-numeric,
12^100,respond-calculation-numeric,
2+2,respond-calculation-numeric,
8^2,respond-calculation-numeric,
5*5/12,respond-calculation-numeric,
255*255,respond-calculation-numeric,
122*122,respond-calculation-numeric,
122*254/5,respond-calculation-numeric,
123*984/2,respond-calculation-numeric,
(2*5)*5-(9/8),respond-calculation-numeric,
133*133,respond-calculation-numeric,
66/34,respond-calculation-numeric,
2-5*5,respond-calculation-numeric,
(234-567)/453,respond-calculation-numeric,
5 hours to days,respond-calculation-conversion,
1 mile to kilometers,respond-calculation-conversion,
10 seconds to mins,respond-calculation-conversion,
10 mins to seconds,respond-calculation-conversion,
5000 feet to miles,respond-calculation-conversion,
5 feet to inches,respond-calculation-conversion,
20 pounts to grams,respond-calculation-conversion,
500 miles to kilometers,respond-calculation-conversion,
10 quarts to gallons,respond-calculation-conversion,
5 inches to feet,respond-calculation-conversion,
1 oz to grams,respond-calculation-conversion,
10 kgs to pounds,respond-calculation-conversion,
20 ounces to pounds,respond-calculation-conversion,
5 meters to miles,respond-calculation-conversion,
10 grams to ounces,respond-calculation-conversion,
10 kilometers to miles,respond-calculation-conversion,
what does that mean,RepairTalk,
no I mean,RepairTalk,
that makes no sense,RepairTalk,
come again,RepairTalk,
no i mean action movies,RepairTalk,
help,RepairTalk,
show me again,RepairTalk,
that's not what I mean,RepairTalk,
I meant,RepairTalk,
nvm,RepairTalk,
what do you mean,RepairTalk,
no i mean family,RepairTalk,
what is an example of,RepairTalk,
what do you mean by,RepairTalk,
no I want,RepairTalk,
what were those again,RepairTalk,
tell me more,RepairTalk,
I mean,RepairTalk,
makes no sense,RepairTalk,
no I meant,RepairTalk,
say that again,RepairTalk,
that's not what I meant,RepairTalk,
that doesn't make sense,RepairTalk,
I'm confused,RepairTalk,
tips,RepairTalk,
what do you mean by ,RepairTalk,
I don't get it,RepairTalk,
what are those,RepairTalk,
what does that stand for,RepairTalk,
tell me more about this,RepairTalk,
again!,RepairTalk,
already told you,RepairTalk,
what are all the genres,RepairTalk,
what does trailers mean,RepairTalk,
start over,RepairTalk,
what did you mean,RepairTalk,
what are examples of,RepairTalk,
what are they?,RepairTalk,
What does NC-17 stand for,RepairTalk,
what were those again?,RepairTalk,
